Name,Primary,Favorability,Unfavorability
Joe_Biden,40%,76%,15%
Bernie_Sanders,19%,73%,18%
Elizabeth_Warren,8%,56%,16%
Kamala_Harris,7%,50%,12%
Pete_Buttigieg,6%,39%,10%
Beto_O'Rourke,5%,44%,13%
Cory_Booker,3%,43%,12%
Amy_Klobuchar,2%,30%,11%
Andrew_Yang,1%,16%,9%
Kirsten_Gillibrand,1%,32%,14%
Tim_Ryan,1%,16%,14%
Julian_Castro,1%,27%,12%
John_Delaney,1%,13%,9%
John_Hickenlooper,1%,16%,9%
Steve_Bullock,1%,11%,8%
Tulsi_Gabbard,1%,17%,11%
Jay_Inslee,0%,15%,8%
Seth_Moulton,0%,9%,8%
